age,sex,race,education,employment,income,avebooks,readprint,readaudio,readebook,borrowed,lib, bought, other, news, mags, total
49 to 59,Male,White,High school graduate,Not employed for pay,$100k to under $150k,40,0,0,0,0,0,1,0,0,1,1
49 to 59,Female,White,High school graduate,Not employed for pay,Unknown,6,1,0,0,1,0,0,0,0,1,2
49 to 59,Female,White,High school graduate,Other,$20k to under $30k,5,1,0,0,1,0,0,0,0,1,1
49 to 59,Female,White,High school graduate,Other,Unknown,3,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,High school graduate,Disabled,Less than $10k,50,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,White,High school graduate,Disabled,$10k to under $20k,5,1,0,0,1,0,0,0,1,0,1
49 to 59,Male,White,College graduate,Retired,$10k to under $20k,5,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,White,College graduate,Retired,$30k to under $40k,2,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,College graduate,Retired,$50k to under $75k,6,1,1,0,0,0,1,0,1,1,1
49 to 59,Female,White,College graduate,Retired,$75k to under $100k,14,3,0,1,0,0,3,0,1,3,3
49 to 59,Female,White,College graduate,Retired,$100k to under $150k,8,2,1,2,0,0,3,0,2,3,3
49 to 59,Male,White,College graduate,Retired,$100k to under $150k,30,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,College graduate,Retired,Unknown,6,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,White,College graduate,Retired,Unknown,15,2,0,0,0,0,2,0,1,2,2
49 to 59,Female,White,College graduate,Employed part-time,$30k to under $40k,5,1,0,1,0,0,0,1,0,0,1
49 to 59,Female,White,College graduate,Employed part-time,$50k to under $75k,5,2,0,0,1,0,1,0,2,2,2
49 to 59,Male,White,College graduate,Employed part-time,$50k to under $75k,3,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,White,College graduate,Employed part-time,$100k to under $150k,34,4,1,2,0,1,3,0,4,3,4
49 to 59,Male,White,College graduate,Employed part-time,$100k to under $150k,30,1,1,0,0,1,0,0,1,1,1
49 to 59,Female,White,College graduate,Employed part-time,Unknown,30,3,0,1,0,1,2,0,2,2,3
49 to 59,Male,White,College graduate,Employed full-time,$10k to under $20k,6,0,1,0,0,0,1,0,0,1,1
49 to 59,Female,White,College graduate,Employed full-time,$20k to under $30k,66,2,0,1,1,0,0,1,1,1,2
49 to 59,Male,White,College graduate,Employed full-time,$20k to under $30k,15,1,0,0,0,0,1,0,0,1,2
49 to 59,Female,White,College graduate,Employed full-time,$30k to under $40k,50,0,0,1,0,0,1,0,0,1,1
49 to 59,Male,White,College graduate,Employed full-time,$30k to under $40k,15,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,College graduate,Employed full-time,$40k to under $50k,39,4,0,1,0,1,1,2,3,1,4
49 to 59,Female,White,College graduate,Employed full-time,$50k to under $75k,16,6,0,1,3,1,2,0,5,6,6
49 to 59,Male,White,College graduate,Employed full-time,$50k to under $75k,20,2,0,1,1,1,0,0,2,1,2
49 to 59,Female,White,College graduate,Employed full-time,$75k to under $100k,18,7,2,7,2,0,6,0,7,7,9
49 to 59,Male,White,College graduate,Employed full-time,$75k to under $100k,18,6,1,1,2,0,4,0,6,5,6
49 to 59,Female,White,College graduate,Employed full-time,$100k to under $150k,35,8,1,6,1,0,4,3,6,7,8
49 to 59,Male,White,College graduate,Employed full-time,$100k to under $150k,19,20,3,11,4,0,17,2,21,19,23
49 to 59,Female,White,College graduate,Employed full-time,Unknown,30,6,2,3,2,2,2,1,3,4,7
49 to 59,Male,White,College graduate,Employed full-time,Unknown,12,1,0,1,0,0,1,0,0,1,1
49 to 59,Female,White,College graduate,Not employed for pay,$10k to under $20k,10,1,1,1,0,1,0,0,0,1,1
49 to 59,Female,White,College graduate,Not employed for pay,$20k to under $30k,4,1,0,0,0,1,0,0,1,1,1
49 to 59,Male,White,College graduate,Not employed for pay,$20k to under $30k,6,1,0,0,0,0,0,1,1,1,1
49 to 59,Male,White,College graduate,Not employed for pay,$40k to under $50k,14,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,White,College graduate,Not employed for pay,$100k to under $150k,14,2,1,2,0,1,2,0,2,1,3
49 to 59,Female,White,College graduate,Not employed for pay,Unknown,12,1,2,2,0,0,2,0,0,2,2
49 to 59,Male,White,College graduate,Not employed for pay,Unknown,3,1,0,0,0,0,1,0,1,0,1
49 to 59,Female,White,College graduate,Disabled,$40k to under $50k,20,1,0,0,0,0,0,1,1,1,1
49 to 59,Male,White,Some college,Retired,$30k to under $40k,3,1,0,0,1,0,0,0,1,0,2
49 to 59,Female,White,Some college,Retired,$40k to under $50k,50,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,White,Some college,Retired,$50k to under $75k,97,1,1,1,0,0,1,0,0,1,1
49 to 59,Male,White,Some college,Retired,$50k to under $75k,17,2,1,1,0,0,2,0,1,1,2
49 to 59,Male,White,Some college,Retired,$75k to under $100k,12,1,1,1,0,0,1,0,2,2,2
49 to 59,Female,White,Some college,Retired,$100k to under $150k,8,1,0,1,0,0,1,0,1,1,1
49 to 59,Male,White,Some college,Retired,$100k to under $150k,10,2,0,0,0,1,0,1,1,1,2
49 to 59,Male,White,Some college,Have own business/self-employed,$30k to under $40k,2,1,0,0,0,0,0,1,1,0,1
49 to 59,Male,White,Some college,Have own business/self-employed,$50k to under $75k,10,1,1,1,0,0,1,0,1,1,1
49 to 59,Male,White,Some college,Have own business/self-employed,$100k to under $150k,15,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,White,Some college,Have own business/self-employed,Unknown,97,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,White,Some college,Employed part-time,$20k to under $30k,12,1,1,1,1,0,0,0,1,0,1
49 to 59,Male,White,Some college,Employed part-time,$40k to under $50k,6,1,1,0,1,0,0,0,0,1,1
49 to 59,Female,White,Some college,Employed part-time,$50k to under $75k,97,1,0,0,0,1,0,0,1,0,1
49 to 59,Female,White,Some college,Employed part-time,$75k to under $100k,40,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,White,Some college,Employed part-time,$100k to under $150k,10,2,1,2,0,0,3,0,3,1,3
49 to 59,Female,White,Some college,Employed full-time,$20k to under $30k,11,2,0,0,1,1,0,0,2,2,2
49 to 59,Male,White,Some college,Employed full-time,$20k to under $30k,3,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,White,Some college,Employed full-time,$30k to under $40k,11,1,0,1,0,0,1,1,2,1,2
49 to 59,Male,White,Some college,Employed full-time,$30k to under $40k,5,2,0,0,0,0,0,2,1,0,2
49 to 59,Female,White,Some college,Employed full-time,$40k to under $50k,38,4,1,3,0,0,4,0,1,2,4
49 to 59,Male,White,Some college,Employed full-time,$40k to under $50k,8,3,0,0,0,0,1,2,2,1,3
49 to 59,Female,White,Some college,Employed full-time,$50k to under $75k,8,4,0,2,1,0,3,0,3,2,4
49 to 59,Male,White,Some college,Employed full-time,$50k to under $75k,16,6,1,1,2,2,3,0,5,3,8
49 to 59,Female,White,Some college,Employed full-time,$75k to under $100k,35,3,1,2,0,1,2,1,2,2,4
49 to 59,Male,White,Some college,Employed full-time,$75k to under $100k,12,6,1,3,0,1,5,0,8,4,9
49 to 59,Female,White,Some college,Employed full-time,$100k to under $150k,13,4,1,2,0,0,3,1,3,2,5
49 to 59,Male,White,Some college,Employed full-time,$100k to under $150k,8,7,2,1,4,0,3,2,9,5,10
49 to 59,Female,White,Some college,Employed full-time,Unknown,24,6,1,4,2,0,4,0,4,3,6
49 to 59,Male,White,Some college,Employed full-time,Unknown,2,1,0,0,1,0,0,0,1,0,1
49 to 59,Female,White,Some college,Not employed for pay,Less than $10k,2,1,0,0,1,0,0,0,1,0,1
49 to 59,Male,White,Some college,Not employed for pay,Less than $10k,4,2,0,0,0,1,0,1,1,0,2
49 to 59,Female,White,Some college,Not employed for pay,$10k to under $20k,12,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,White,Some college,Not employed for pay,$10k to under $20k,97,1,0,0,0,1,0,0,1,1,1
49 to 59,Female,White,Some college,Not employed for pay,$20k to under $30k,9,3,0,1,0,1,1,1,2,2,3
49 to 59,Male,White,Some college,Not employed for pay,$20k to under $30k,5,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,Some college,Not employed for pay,$50k to under $75k,12,1,0,0,0,0,1,0,1,0,1
49 to 59,Male,White,Some college,Not employed for pay,$50k to under $75k,24,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,White,Some college,Not employed for pay,$100k to under $150k,49,4,2,2,1,2,1,0,4,4,4
49 to 59,Female,White,Some college,Not employed for pay,Unknown,5,2,0,1,0,0,1,1,3,2,3
49 to 59,Female,White,Some college,Other,Unknown,6,1,0,0,1,0,0,0,0,1,1
49 to 59,Female,White,Some college,Disabled,Less than $10k,2,1,0,0,0,1,0,0,1,1,2
49 to 59,Female,White,Some college,Disabled,$10k to under $20k,19,2,0,1,1,0,1,0,1,1,2
49 to 59,Male,White,Some college,Disabled,$10k to under $20k,5,1,1,0,0,1,0,0,0,1,1
49 to 59,Female,White,Some college,Disabled,$30k to under $40k,80,1,0,0,0,0,0,1,1,0,1
49 to 59,Male,White,Some college,Disabled,$40k to under $50k,4,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,White,Some college,Disabled,$100k to under $150k,27,2,1,0,1,0,0,2,2,2,3
49 to 59,Male,White,Post-graduate training/professional school,Retired,$20k to under $30k,36,1,0,0,0,1,0,0,1,1,1
49 to 59,Male,White,Post-graduate training/professional school,Retired,$40k to under $50k,20,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,White,Post-graduate training/professional school,Retired,$50k to under $75k,50,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,White,Post-graduate training/professional school,Retired,$100k to under $150k,55,3,1,0,1,0,2,0,3,3,3
49 to 59,Male,White,Post-graduate training/professional school,Retired,$100k to under $150k,21,3,0,2,1,0,2,0,1,3,4
49 to 59,Female,White,Post-graduate training/professional school,Retired,Unknown,61,2,1,0,0,0,1,1,2,1,2
49 to 59,Male,White,Post-graduate training/professional school,Retired,Unknown,12,1,0,1,0,0,1,0,1,1,1
49 to 59,Male,White,Post-graduate training/professional school,Have own business/self-employed,$100k to under $150k,9,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,White,Post-graduate training/professional school,Employed part-time,$30k to under $40k,12,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,41,3,1,0,1,0,2,0,0,3,3
49 to 59,Male,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,10,2,0,0,0,1,1,0,2,1,2
49 to 59,Female,White,Post-graduate training/professional school,Employed full-time,$30k to under $40k,3,2,0,0,0,0,2,0,2,1,2
49 to 59,Male,White,Post-graduate training/professional school,Employed full-time,$30k to under $40k,22,3,0,1,1,0,2,0,1,0,3
49 to 59,Female,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,12,5,2,3,0,2,2,1,4,6,6
49 to 59,Male,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,5,1,0,1,0,0,1,0,0,0,1
49 to 59,Female,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,25,11,1,2,0,1,9,1,8,8,11
49 to 59,Male,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,10,3,0,2,0,1,1,1,2,2,4
49 to 59,Female,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,25,8,4,7,1,1,5,1,6,7,8
49 to 59,Male,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,16,19,7,10,1,1,14,4,17,17,20
49 to 59,Female,White,Post-graduate training/professional school,Employed full-time,Unknown,18,4,1,1,2,0,2,0,4,4,4
49 to 59,Male,White,Post-graduate training/professional school,Employed full-time,Unknown,14,5,1,2,0,1,3,1,4,5,6
49 to 59,Female,White,Post-graduate training/professional school,Not employed for pay,$75k to under $100k,24,1,1,0,0,1,0,0,1,1,1
49 to 59,Female,White,Post-graduate training/professional school,Not employed for pay,$100k to under $150k,44,3,2,2,0,0,3,0,2,2,3
49 to 59,Male,White,Post-graduate training/professional school,Not employed for pay,$100k to under $150k,30,1,1,1,0,0,1,0,0,0,1
49 to 59,Female,White,Post-graduate training/professional school,Other,$100k to under $150k,97,1,0,0,0,1,0,0,1,1,1
49 to 59,Female,White,Technical/trade/vocational school,Retired,$50k to under $75k,24,1,0,1,0,0,0,1,0,1,1
49 to 59,Male,White,Technical/trade/vocational school,Employed part-time,$10k to under $20k,30,1,0,1,0,0,1,0,0,1,1
49 to 59,Female,White,Technical/trade/vocational school,Employed full-time,$20k to under $30k,96,1,0,0,0,0,1,0,0,1,1
49 to 59,Male,White,Technical/trade/vocational school,Employed full-time,$30k to under $40k,3,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,Technical/trade/vocational school,Employed full-time,$50k to under $75k,30,2,0,0,1,0,0,1,2,1,2
49 to 59,Male,White,Technical/trade/vocational school,Employed full-time,$75k to under $100k,6,1,0,0,0,0,0,1,1,1,1
49 to 59,Female,White,Technical/trade/vocational school,Employed full-time,$100k to under $150k,15,1,0,0,1,0,0,0,1,1,1
49 to 59,Male,White,Technical/trade/vocational school,Employed full-time,$100k to under $150k,3,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,Technical/trade/vocational school,Not employed for pay,Unknown,3,1,1,1,0,0,1,0,1,1,1
49 to 59,Female,White,Technical/trade/vocational school,Disabled,Less than $10k,24,2,0,0,1,0,1,0,0,0,2
49 to 59,Female,White,None,Retired,Less than $10k,2,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,White,None,Employed full-time,$10k to under $20k,6,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,White,None,Employed full-time,$100k to under $150k,5,0,0,0,0,0,0,1,0,0,2
49 to 59,Female,White,None,Disabled,Less than $10k,30,0,0,0,0,0,1,0,1,0,1
49 to 59,Male,White,Unknown,Retired,Unknown,4,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Black or African-American,High school incomplete,Retired,Less than $10k,3,1,0,0,1,0,0,0,1,0,1
49 to 59,Male,Black or African-American,High school incomplete,Have own business/self-employed,Less than $10k,8,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,Black or African-American,High school incomplete,Employed full-time,$10k to under $20k,1,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,Black or African-American,High school incomplete,Not employed for pay,Less than $10k,1,1,0,0,1,0,0,0,0,0,2
49 to 59,Female,Black or African-American,High school incomplete,Not employed for pay,$100k to under $150k,25,1,0,0,0,1,0,0,0,1,1
49 to 59,Female,Black or African-American,High school graduate,Retired,Less than $10k,8,2,0,0,0,0,2,0,2,1,2
49 to 59,Male,Black or African-American,High school graduate,Retired,$10k to under $20k,70,1,0,0,0,0,0,1,0,1,1
49 to 59,Male,Black or African-American,High school graduate,Retired,$20k to under $30k,15,1,0,0,1,0,0,0,0,1,1
49 to 59,Female,Black or African-American,High school graduate,Retired,$30k to under $40k,12,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Black or African-American,High school graduate,Employed part-time,$10k to under $20k,1,1,0,0,0,0,0,1,1,0,1
49 to 59,Female,Black or African-American,High school graduate,Employed part-time,$20k to under $30k,15,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,Black or African-American,High school graduate,Employed part-time,$100k to under $150k,3,1,0,0,1,0,0,0,1,0,1
49 to 59,Female,Black or African-American,High school graduate,Employed full-time,$10k to under $20k,30,1,0,0,1,0,0,0,1,1,1
49 to 59,Male,Black or African-American,High school graduate,Employed full-time,$10k to under $20k,1,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,Black or African-American,High school graduate,Employed full-time,$20k to under $30k,20,1,0,0,1,0,0,0,1,0,1
49 to 59,Female,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,39,2,0,0,1,0,1,0,2,1,2
49 to 59,Female,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,12,1,1,0,1,0,0,0,1,1,1
49 to 59,Female,Black or African-American,High school graduate,Employed full-time,$50k to under $75k,0,1,0,0,0,0,1,0,1,0,2
49 to 59,Male,Black or African-American,High school graduate,Employed full-time,$50k to under $75k,2,1,0,0,0,0,0,1,1,0,1
49 to 59,Male,Black or African-American,High school graduate,Employed full-time,Unknown,1,0,1,1,0,0,0,1,1,0,1
49 to 59,Female,Black or African-American,High school graduate,Not employed for pay,Less than $10k,4,2,0,0,0,0,2,0,1,1,2
49 to 59,Male,Black or African-American,High school graduate,Not employed for pay,Less than $10k,8,1,0,0,0,0,1,0,2,2,2
49 to 59,Female,Black or African-American,High school graduate,Not employed for pay,$100k to under $150k,3,1,1,0,0,0,0,1,0,0,1
49 to 59,Male,Black or African-American,High school graduate,Not employed for pay,$100k to under $150k,4,1,1,0,0,0,1,0,1,0,1
49 to 59,Male,Black or African-American,High school graduate,Disabled,Less than $10k,3,1,0,0,1,0,0,0,1,1,1
49 to 59,Male,Black or African-American,High school graduate,Disabled,$20k to under $30k,24,2,0,0,0,0,0,2,1,0,2
49 to 59,Female,Black or African-American,College graduate,Retired,Unknown,15,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,Black or African-American,College graduate,Employed full-time,$40k to under $50k,6,1,0,0,0,0,0,1,0,1,1
49 to 59,Male,Black or African-American,College graduate,Employed full-time,$50k to under $75k,6,1,0,0,1,0,0,0,1,0,1
49 to 59,Female,Black or African-American,College graduate,Employed full-time,$75k to under $100k,2,1,1,0,0,0,1,0,1,1,1
49 to 59,Female,Black or African-American,College graduate,Employed full-time,$100k to under $150k,17,2,0,1,0,0,3,0,4,3,4
49 to 59,Female,Black or African-American,College graduate,Not employed for pay,$40k to under $50k,30,1,0,0,0,1,0,0,0,1,1
49 to 59,Female,Black or African-American,Some college,Retired,$10k to under $20k,5,1,0,0,1,0,0,0,1,0,1
49 to 59,Male,Black or African-American,Some college,Retired,$50k to under $75k,11,1,0,0,0,0,1,0,1,0,1
49 to 59,Male,Black or African-American,Some college,Have own business/self-employed,$10k to under $20k,5,1,0,0,0,0,0,1,1,0,1
49 to 59,Male,Black or African-American,Some college,Employed part-time,Less than $10k,2,1,0,0,0,1,0,0,1,1,1
49 to 59,Female,Black or African-American,Some college,Employed full-time,$30k to under $40k,3,1,0,0,0,0,0,1,0,1,1
49 to 59,Female,Black or African-American,Some college,Employed full-time,$40k to under $50k,2,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,Black or African-American,Some college,Employed full-time,$50k to under $75k,2,1,1,0,0,0,1,0,1,0,1
49 to 59,Male,Black or African-American,Some college,Employed full-time,$50k to under $75k,3,2,0,0,0,0,2,0,2,0,2
49 to 59,Female,Black or African-American,Some college,Employed full-time,$75k to under $100k,4,1,1,1,0,0,2,0,2,1,2
49 to 59,Male,Black or African-American,Some college,Not employed for pay,$10k to under $20k,3,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,Black or African-American,Some college,Not employed for pay,$50k to under $75k,60,1,0,1,0,0,1,0,0,1,1
49 to 59,Female,Black or African-American,Some college,Not employed for pay,$100k to under $150k,2,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,Black or African-American,Post-graduate training/professional school,Retired,$100k to under $150k,1,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,Black or African-American,Post-graduate training/professional school,Employed part-time,$75k to under $100k,97,1,0,1,0,0,1,0,1,0,1
49 to 59,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$50k to under $75k,6,1,0,1,1,0,0,0,1,1,1
49 to 59,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$75k to under $100k,11,3,0,2,1,0,1,1,2,2,3
49 to 59,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$100k to under $150k,80,1,1,1,0,0,1,0,1,1,1
49 to 59,Male,Black or African-American,Post-graduate training/professional school,Employed full-time,$100k to under $150k,25,1,0,0,0,0,0,1,0,0,1
49 to 59,Male,Black or African-American,Technical/trade/vocational school,Employed full-time,$30k to under $40k,5,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Black or African-American,None,Employed full-time,$20k to under $30k,2,1,0,0,1,0,0,0,0,0,1
49 to 59,Male,Mixed race,High school graduate,Disabled,$50k to under $75k,2,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Mixed race,Some college,Employed full-time,$100k to under $150k,30,1,1,1,0,0,1,0,0,1,1
49 to 59,Female,Mixed race,Some college,Not employed for pay,Unknown,25,1,0,0,0,0,0,1,1,0,1
49 to 59,Male,Mixed race,Post-graduate training/professional school,Retired,Unknown,3,1,1,0,0,0,0,1,0,0,1
49 to 59,Male,Unknown,High school graduate,Retired,Unknown,50,1,0,0,0,0,1,0,1,0,1
49 to 59,Male,Unknown,College graduate,Employed full-time,Unknown,10,1,1,0,0,0,1,0,1,1,1
49 to 59,Male,Unknown,College graduate,Not employed for pay,$75k to under $100k,8,1,0,0,0,0,1,0,0,1,1
49 to 59,Male,Unknown,Some college,Retired,$50k to under $75k,17,1,0,0,0,0,1,0,0,0,1
49 to 59,Male,Unknown,Some college,Employed full-time,$50k to under $75k,30,0,1,0,0,0,1,0,0,0,1
49 to 59,Male,Unknown,Some college,Employed full-time,$100k to under $150k,30,1,0,1,0,0,1,0,0,1,1
49 to 59,Female,Unknown,Some college,Not employed for pay,Unknown,14,1,0,0,0,0,1,0,0,0,1
49 to 59,Female,Unknown,Post-graduate training/professional school,Retired,$30k to under $40k,5,1,0,0,0,1,0,0,1,1,1
49 to 59,Female,Unknown,Post-graduate training/professional school,Employed part-time,$40k to under $50k,20,1,0,0,1,0,0,0,1,1,1
49 to 59,Female,Unknown,Post-graduate training/professional school,Employed full-time,$40k to under $50k,20,1,1,1,0,0,0,1,1,1,1
49 to 59,Male,Unknown,Post-graduate training/professional school,Employed full-time,$75k to under $100k,25,1,1,0,0,0,1,0,1,1,1
49 to 59,Male,Unknown,Post-graduate training/professional school,Employed full-time,$100k to under $150k,5,1,1,0,0,0,1,0,0,1,1
49 to 59,Female,Unknown,Post-graduate training/professional school,Other,Unknown,50,1,0,1,0,0,1,0,1,1,1
49 to 59,Male,Unknown,None,Employed part-time,$50k to under $75k,30,1,0,0,0,1,0,0,1,0,1
49 to 59,Male,Unknown,None,Employed full-time,Unknown,2,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Native American/American Indian,High school graduate,Employed full-time,$20k to under $30k,1,0,0,0,1,0,0,0,0,1,1
49 to 59,Male,Native American/American Indian,Some college,Employed full-time,$10k to under $20k,12,1,0,0,1,0,0,0,0,0,1
49 to 59,Male,Native American/American Indian,Some college,Employed full-time,$75k to under $100k,25,1,0,0,0,0,0,1,1,1,1
49 to 59,Male,Asian or Pacific Islander,High school graduate,Have own business/self-employed,$50k to under $75k,1,1,0,0,0,0,0,1,1,0,1
49 to 59,Female,Asian or Pacific Islander,College graduate,Retired,$100k to under $150k,4,1,0,1,0,0,1,0,0,1,1
49 to 59,Female,Asian or Pacific Islander,College graduate,Employed full-time,$50k to under $75k,2,1,1,0,0,0,1,0,0,0,1
49 to 59,Male,Asian or Pacific Islander,College graduate,Employed full-time,$100k to under $150k,3,1,0,1,0,0,1,0,1,0,1
49 to 59,Male,Asian or Pacific Islander,College graduate,Not employed for pay,$100k to under $150k,15,1,0,0,0,0,1,0,0,1,1
49 to 59,Female,Asian or Pacific Islander,Some college,Have own business/self-employed,$40k to under $50k,97,1,1,1,0,0,1,0,0,0,1
49 to 59,Male,Asian or Pacific Islander,Some college,Employed full-time,Unknown,4,1,0,0,0,0,1,0,1,1,1
49 to 59,Female,Asian or Pacific Islander,Some college,Not employed for pay,$100k to under $150k,30,1,0,0,0,0,1,0,1,1,1
49 to 59,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$100k to under $150k,15,1,0,1,0,0,1,0,1,1,1
49 to 59,Female,Other,High school incomplete,Not employed for pay,$100k to under $150k,4,0,0,0,0,0,1,0,1,1,1
49 to 59,Female,Other,High school graduate,Employed full-time,$20k to under $30k,4,1,0,0,0,0,1,0,0,0,1
49 to 59,Male,Other,High school graduate,Employed full-time,$30k to under $40k,5,1,0,0,1,0,0,0,1,0,1
49 to 59,Female,Other,Some college,Retired,$100k to under $150k,3,1,1,1,1,0,0,0,1,0,1
49 to 59,Female,Other,Some college,Not employed for pay,Unknown,6,1,0,0,1,0,0,0,1,1,1
49 to 59,Male,Other,None,Not employed for pay,$100k to under $150k,2,1,0,0,0,0,1,0,1,0,1
60 to 70,Female,White,High school incomplete,Retired,$10k to under $20k,2,1,0,1,0,0,0,1,2,0,2
60 to 70,Male,White,High school incomplete,Retired,$20k to under $30k,4,1,0,0,0,0,1,0,1,2,3
60 to 70,Female,White,High school incomplete,Retired,$30k to under $40k,30,1,0,0,0,0,1,0,0,1,1
60 to 70,Male,White,High school incomplete,Retired,$30k to under $40k,5,1,0,0,1,0,0,0,0,1,1
60 to 70,Male,White,High school incomplete,Retired,$50k to under $75k,3,1,0,0,0,0,1,0,1,1,1
60 to 70,Female,White,High school incomplete,Retired,$75k to under $100k,97,1,0,1,0,0,1,0,1,1,1
60 to 70,Female,White,High school incomplete,Employed full-time,$30k to under $40k,8,1,0,0,1,0,0,0,1,1,1
60 to 70,Female,White,High school incomplete,Not employed for pay,$10k to under $20k,50,1,0,0,0,1,0,0,1,1,1
60 to 70,Female,White,High school incomplete,Not employed for pay,Unknown,25,1,0,0,0,0,1,0,1,1,1
60 to 70,Male,White,High school incomplete,Disabled,$10k to under $20k,6,2,0,0,1,0,1,0,2,1,2
60 to 70,Male,White,High school graduate,Retired,$10k to under $20k,3,1,0,0,1,0,0,0,0,0,2
60 to 70,Female,White,High school graduate,Retired,$20k to under $30k,18,6,0,1,4,0,3,0,3,2,8
60 to 70,Male,White,High school graduate,Retired,$20k to under $30k,21,5,1,0,1,0,4,0,3,5,5
60 to 70,Female,White,High school graduate,Retired,$30k to under $40k,34,4,0,1,0,2,1,1,3,1,4
60 to 70,Female,White,High school graduate,Retired,$40k to under $50k,22,4,0,2,2,0,2,0,2,2,4
60 to 70,Male,White,High school graduate,Retired,$40k to under $50k,2,1,0,0,1,0,1,0,4,1,4
60 to 70,Female,White,High school graduate,Retired,$50k to under $75k,2,2,0,1,0,1,1,0,1,0,2
60 to 70,Male,White,High school graduate,Retired,$50k to under $75k,19,6,0,2,2,1,3,0,4,3,6
60 to 70,Female,White,High school graduate,Retired,$75k to under $100k,15,2,0,1,0,2,0,0,2,1,3
60 to 70,Female,White,High school graduate,Retired,$100k to under $150k,19,2,1,0,0,0,2,0,2,2,4
60 to 70,Male,White,High school graduate,Retired,$100k to under $150k,5,3,1,0,0,0,3,0,3,3,3
60 to 70,Female,White,High school graduate,Retired,Unknown,31,5,1,1,1,0,4,0,7,4,7
60 to 70,Male,White,High school graduate,Have own business/self-employed,$10k to under $20k,4,1,0,0,0,1,0,0,0,1,1
60 to 70,Female,White,High school graduate,Employed part-time,$10k to under $20k,25,1,0,0,0,0,1,0,1,1,1
60 to 70,Female,White,High school graduate,Employed part-time,$20k to under $30k,24,1,0,0,0,0,1,0,1,0,1
60 to 70,Female,White,High school graduate,Employed part-time,$30k to under $40k,35,4,0,1,2,2,0,0,4,4,4
60 to 70,Male,White,High school graduate,Employed part-time,$50k to under $75k,3,1,1,0,0,1,0,0,1,0,1
60 to 70,Female,White,High school graduate,Employed full-time,$30k to under $40k,70,1,0,0,0,0,1,0,1,1,1
60 to 70,Female,White,High school graduate,Employed full-time,$50k to under $75k,17,1,0,1,1,0,1,0,0,1,2
60 to 70,Male,White,High school graduate,Employed full-time,$50k to under $75k,4,1,0,1,0,0,1,0,3,1,3
60 to 70,Female,White,High school graduate,Employed full-time,$75k to under $100k,6,1,0,0,1,0,0,0,1,0,1
